,Berdichev,Україна-64,Kremenchuk - Zazuliak Team,Chess dream (Ivano-Frankivsk),Kherson Atlant,Рогатин,Zhydachiv chess team,ЛША тренер МГ Фірман Назар,KHARKIV REGIONAL PALACE,Кривбас- Кривий Ріг,КПДЮ-1,Школа Інтелектуального Розвитку Розвій,DOLYNACHESS (Шахова Долина),Вінницька шахова школа,ШШК 15,Лозовской ШШК,Шахтар Кристинопіль,Team Zaporizhzhia Region | Збірна Запорізької області,MARAMARA,Тисмениця,The Chess Elite (Stryi L'viv Region),POLTAVA,Метрополитен 90 и старше. Харьков,Рівне,МенаКлубШахмат,Myrhorod Chess Club - Yavorovsky Team,Колос (Бучач),Івано-Франківська ДЮСШ №3,Team Odessa,Ukrainian national team,
18:00:27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18:00:36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:39,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:41,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:42,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:43,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:44,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:45,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:46,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:47,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:48,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:49,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:51,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:52,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:53,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:54,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:55,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:56,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:57,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:58,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:00:59,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:02,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:03,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:04,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:05,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:06,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:07,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:08,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:09,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
18:01:32,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:33,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:34,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:35,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:36,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:37,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:38,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:39,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:40,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:41,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:42,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:43,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:44,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:45,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:46,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:47,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:48,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:49,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:50,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:51,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:52,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:53,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:54,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:55,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:56,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:57,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:58,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:01:59,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02:01,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02:02,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02:03,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02:04,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02:05,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,3,0,2,9,3,1,15,0,6,0,
18:02:06,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:07,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:08,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:09,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:10,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:11,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:12,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:13,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:14,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:15,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:16,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:17,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:18,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:19,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:20,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:21,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:22,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:23,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:24,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:25,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:26,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:27,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:28,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:29,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:30,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:31,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:32,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:33,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:34,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:35,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:36,3,0,4,0,15,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:37,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:38,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:39,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:40,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:41,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:42,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:43,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:44,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:45,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:46,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:47,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:48,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:49,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:50,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:51,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:52,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:53,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:54,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:55,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:56,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:57,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:58,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:02:59,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:01,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:02,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:03,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:04,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:05,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:06,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:07,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:08,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:09,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:10,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,0,2,9,3,1,15,0,6,0,
18:03:11,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,1,2,9,3,1,15,0,6,0,
18:03:12,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,1,2,9,3,1,15,0,6,0,
18:03:13,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,1,2,9,3,1,15,0,6,0,
18:03:14,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,1,2,9,3,1,15,0,6,0,
18:03:15,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,1,2,9,3,1,15,0,6,0,
18:03:16,4,0,4,0,17,0,4,0,0,13,0,0,3,0,2,10,0,0,0,2,5,1,2,9,3,1,15,0,6,0,
